findling-cpu epoch,usage_usec,box_total_jiffies,box_idle_jiffies,uptime_usec
findling-cpu 1790401390,137103,98730,65216,495430000
findling-cpu 1790401395,1825363,99723,65539,500450000
findling-cpu 1790401400,1832335,100720,66019,505470000
findling-cpu 1790401405,1838491,101721,66685,510480000
findling-cpu 1790401410,3202343,102716,67388,515500000
findling-cpu 1790401415,5723759,103717,67640,520510000
findling-cpu 1790401420,5829767,104716,68179,525520000
findling-cpu 1790401425,5877628,105716,69170,530540000
findling-cpu 1790401430,5888564,106715,70147,535550000
findling-cpu 1790401435,5893177,107715,71143,540560000
findling-cpu 1790401440,5899110,108716,72132,545570000
findling-cpu 1790401445,5904801,109715,73071,550590000
findling-cpu 1790401451,5910370,110716,73810,555600000
findling-cpu 1790401456,5914989,111718,74806,560610000
findling-cpu 1790401461,5933958,112719,75785,565630000
findling-cpu 1790401466,5938990,113719,76781,570640000
findling-cpu 1790401471,5944533,114717,77702,575650000
findling-cpu 1790401476,5950225,115716,78673,580660000
findling-cpu 1790401481,5955763,116717,79661,585680000
findling-cpu 1790401486,5960448,117718,80657,590690000
findling-cpu 1790401491,5965217,118719,81646,595700000
findling-cpu 1790401496,5970694,119722,82642,600720000
findling-cpu 1790401501,5976217,120722,83628,605730000
findling-cpu 1790401506,5982072,121724,84599,610740000
findling-cpu 1790401511,5987253,122724,85586,615750000
findling-cpu 1790401516,5992996,123726,86583,620770000
findling-cpu 1790401521,6010539,124727,87561,625780000
findling-cpu 1790401526,6016281,125728,88557,630790000
findling-cpu 1790401531,6022413,126727,89460,635810000
findling-cpu 1790401536,6028487,127728,90393,640820000
findling-cpu 1790401541,6033936,128728,91381,645830000
findling-cpu 1790401546,6531651,129730,92328,650840000
findling-cpu 1790401551,6536147,130730,93317,655860000
findling-cpu 1790401556,6540984,131732,94313,660870000
findling-cpu 1790401561,6565632,132732,95300,665880000
findling-cpu 1790401566,6571877,133732,96269,670900000
findling-cpu 1790401571,6577008,134732,97257,675910000
findling-cpu 1790401576,6581754,135735,98254,680920000
findling-cpu 1790401581,6586346,136736,99243,685930000
findling-cpu 1790401586,6785685,137735,100076,690950000
findling-cpu 1790401591,6791879,138733,100526,695960000
findling-cpu 1790401596,6797610,139730,101176,700970000
findling-cpu 1790401601,6802400,140731,102164,705990000
findling-cpu 1790401606,6807310,141732,103160,711000000
findling-cpu 1790401611,6877516,142732,104082,716010000
findling-cpu 1790401616,6882457,143733,105077,721030000
findling-cpu 1790401621,6887632,144735,106065,726040000
findling-cpu 1790401626,6962134,145733,106967,731050000
findling-cpu 1790401631,6967546,146733,107955,736060000
findling-cpu 1790401636,6972399,147734,108951,741080000
findling-cpu 1790401641,9129037,148743,109626,746150000
findling-cpu 1790401646,9818159,149745,110493,751170000
findling-cpu 1790401651,9865177,150745,111442,756180000
findling-cpu 1790401656,9870846,151745,112413,761190000
findling-cpu 1790401661,9953264,152743,113324,766210000
findling-cpu 1790401666,9959821,153746,114320,771220000
findling-cpu 1790401671,9965455,154746,115308,776230000
findling-cpu 1790401676,9970606,155747,116304,781250000
findling-cpu 1790401681,9975257,156748,117293,786260000
findling-cpu 1790401686,9980328,157749,118261,791270000
findling-cpu 1790401691,9990099,158749,119241,796290000
findling-cpu 1790401696,10006290,159751,120231,801300000
findling-cpu 1790401701,10012874,160752,121218,806310000
findling-cpu 1790401706,10018433,161754,122214,811320000
findling-cpu 1790401711,10024512,162755,123182,816340000
findling-cpu 1790401716,10030453,163754,124141,821350000
findling-cpu 1790401721,10035793,164755,125130,826360000
findling-cpu 1790401726,10041742,165753,126114,831380000
findling-cpu 1790401731,10047311,166752,127091,836390000
findling-cpu 1790401736,10052930,167754,128087,841400000
findling-cpu 1790401741,10058437,168755,129076,846410000
findling-cpu 1790401746,10063613,169755,130046,851430000
findling-cpu 1790401751,10081859,170756,131024,856440000
findling-cpu 1790401756,10088408,171756,132019,861450000
findling-cpu 1790401761,10093974,172756,133007,866470000
findling-cpu 1790401766,10099614,173758,134004,871480000
findling-cpu 1790401771,10105356,174759,134993,876490000
findling-cpu 1790401776,10110886,175759,135929,881500000
findling-cpu 1790401781,10115351,176760,136918,886520000
findling-cpu 1790401786,10661903,177761,137860,891530000
findling-cpu 1790401791,10667500,178762,138848,896540000
findling-cpu 1790401796,10672179,179765,139845,901560000
findling-cpu 1790401801,10694329,180767,140816,906570000
findling-cpu 1790401806,10703797,181766,141784,911580000
findling-cpu 1790401811,10709622,182766,142771,916600000
findling-cpu 1790401817,10715225,183769,143767,921610000
findling-cpu 1790401822,10720668,184769,144754,926620000
findling-cpu summary samples=87 mean_cores=0.025 max_cores=0.503 reason=signal
