findling-cpu epoch,usage_usec,box_total_jiffies,box_idle_jiffies,uptime_usec
findling-cpu 1790423583,207044,8458,4201,42930000
findling-cpu 1790423588,1396894,9457,5067,47940000
findling-cpu 1790423593,1401879,10458,6062,52960000
findling-cpu 1790423598,1406305,11459,7038,57970000
findling-cpu 1790423603,1411437,12458,8025,62980000
findling-cpu 1790423608,1415915,13459,8978,67990000
findling-cpu 1790423613,1421056,14459,9963,73010000
findling-cpu 1790423618,1426581,15460,10956,78020000
findling-cpu 1790423623,1430828,16461,11946,83040000
findling-cpu 1790423628,1435157,17462,12934,88050000
findling-cpu 1790423633,1440579,18462,13922,93060000
findling-cpu 1790423638,1445614,19461,14857,98080000
findling-cpu 1790423643,1449694,20462,15845,103090000
findling-cpu 1790423648,1454629,21462,16833,108100000
findling-cpu 1790423653,1459470,22463,17822,113110000
findling-cpu 1790423658,1464065,23464,18810,118130000
findling-cpu 1790423663,1468882,24465,19798,123140000
findling-cpu 1790423668,1473812,25462,20758,128150000
findling-cpu 1790423673,1478397,26462,21745,133170000
findling-cpu 1790423678,1482660,27464,22733,138180000
findling-cpu 1790423683,1487472,28466,23721,143190000
findling-cpu 1790423688,1491742,29467,24709,148210000
findling-cpu 1790423693,1624821,30467,25597,153220000
findling-cpu 1790423698,1630273,31466,26532,158230000
findling-cpu 1790423703,1635914,32467,27519,163250000
findling-cpu 1790423708,1646958,33468,28497,168260000
findling-cpu 1790423713,1651847,34470,29485,173270000
findling-cpu 1790423718,1657319,35469,30363,178290000
findling-cpu 1790423723,1662888,36467,31205,183300000
findling-cpu 1790423728,1668235,37465,32175,188310000
findling-cpu 1790423733,1672715,38465,33143,193330000
findling-cpu 1790423738,1683025,39465,34118,198340000
findling-cpu 1790423743,1688201,40465,35098,203350000
findling-cpu 1790423748,1693676,41466,36071,208370000
findling-cpu 1790423753,1698983,42468,37051,213380000
findling-cpu 1790423758,1704273,43466,37996,218390000
findling-cpu 1790423763,1709505,44467,38948,223410000
findling-cpu 1790423768,1714383,45469,39934,228420000
findling-cpu 1790423773,1719649,46469,40902,233430000
findling-cpu 1790423778,1723295,47471,41898,238440000
findling-cpu 1790423783,1728677,48470,42855,243460000
findling-cpu 1790423788,1733363,49469,43827,248470000
findling-cpu 1790423793,1738034,50468,44795,253480000
findling-cpu 1790423798,1755416,51469,45771,258490000
findling-cpu 1790423803,1760892,52470,46750,263510000
findling-cpu 1790423808,1765543,53469,47724,268520000
findling-cpu 1790423813,1770612,54469,48703,273530000
findling-cpu 1790423818,1775907,55469,49662,278550000
findling-cpu 1790423823,1781121,56471,50634,283560000
findling-cpu 1790423828,1786468,57471,51598,288580000
findling-cpu 1790423833,1791686,58472,52564,293590000
findling-cpu 1790423839,1795991,59473,53552,298600000
findling-cpu 1790423844,1800593,60473,54506,303620000
findling-cpu 1790423849,1805761,61471,55456,308630000
findling-cpu 1790423854,1810670,62473,56437,313640000
findling-cpu 1790423859,1815694,63474,57410,318660000
findling-cpu 1790423864,1820537,64474,58397,323670000
findling-cpu 1790423869,1824800,65474,59362,328680000
findling-cpu 1790423874,1829934,66476,60306,333690000
findling-cpu 1790423879,1835164,67472,61218,338710000
findling-cpu 1790423884,1839488,68474,62195,343720000
findling-cpu 1790423889,1843632,69473,63154,348730000
findling-cpu 1790423894,1848483,70475,64120,353750000
findling-cpu 1790423899,1853697,71476,65107,358760000
findling-cpu 1790423904,1858194,72476,66083,363770000
findling-cpu 1790423909,1863306,73476,67034,368780000
findling-cpu 1790423914,1868158,74475,68022,373800000
findling-cpu 1790423919,1884618,75475,68978,378810000
findling-cpu 1790423924,1889132,76475,69966,383820000
findling-cpu 1790423929,1894044,77475,70948,388840000
findling-cpu 1790423934,1899582,78478,71920,393850000
findling-cpu 1790423939,1904673,79477,72890,398860000
findling-cpu 1790423944,1910050,80476,73847,403880000
findling-cpu 1790423949,1915327,81479,74842,408890000
findling-cpu 1790423954,1920314,82478,75771,413900000
findling-cpu 1790423959,1924283,83480,76767,418920000
findling-cpu 1790423964,1929265,84480,77735,423930000
findling-cpu 1790423969,1934620,85479,78693,428940000
findling-cpu 1790423974,1939707,86479,79672,433960000
findling-cpu 1790423979,1943990,87481,80646,438970000
findling-cpu 1790423984,1948779,88481,81625,443980000
findling-cpu 1790423989,1953343,89482,82611,448990000
findling-cpu 1790423994,1957850,90480,83579,454010000
findling-cpu 1790423999,1962317,91481,84548,459020000
findling-cpu 1790424004,1967054,92480,85503,464030000
findling-cpu 1790424009,1972002,93481,86498,469050000
findling-cpu 1790424014,1976832,94482,87440,474060000
findling-cpu 1790424019,1980633,95482,88424,479070000
findling-cpu 1790424024,1984622,96483,89405,484080000
findling-cpu summary samples=89 mean_cores=0.004 max_cores=0.237 reason=signal
