findling-cpu epoch,usage_usec,box_total_jiffies,box_idle_jiffies,uptime_usec
findling-cpu 1790403415,183405,502578,309056,2520120000
findling-cpu 1790403420,4068175,503576,309288,2525130000
findling-cpu 1790403425,9118894,504576,309702,2530150000
findling-cpu 1790403430,14142001,505580,310172,2535170000
findling-cpu 1790403435,19211037,506580,310611,2540180000
findling-cpu 1790403440,24279294,507581,311067,2545200000
findling-cpu 1790403445,29348475,508581,311508,2550210000
findling-cpu summary samples=7 mean_cores=0.969 max_cores=1.012 reason=signal
