kennzahl anfragen terms 10
kennzahl anfragen sprachfaelle 10
kennzahl anfragen stichprobe 40
kennzahl plan felder 8
kennzahl probe tiefe 100
kennzahl probe wiederholungen 5
anfrage 1 klasse mehrwort
anfrage 6 overlap10_gegen_altplan summe 1.0000
anfrage 6 rbo10_gegen_altplan summe 1.0000
anfrage 6 rangverschiebung_gegen_altplan summe unbestimmt
anfrage 6 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 6 rbo10_gegen_altplan dismax_t00 1.0000
anfrage 6 rangverschiebung_gegen_altplan dismax_t00 unbestimmt
anfrage 6 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 6 rbo10_gegen_altplan dismax_t01 1.0000
anfrage 6 rangverschiebung_gegen_altplan dismax_t01 unbestimmt
anfrage 7 klasse mehrwort
anfrage 7 treffer summe 0
anfrage 7 spitze summe keine
anfrage 7 latenz_ms summe 0.5515
anfrage 7 treffer dismax_t00 0
anfrage 7 spitze dismax_t00 keine
anfrage 7 latenz_ms dismax_t00 0.5752
anfrage 7 treffer dismax_t01 0
anfrage 7 spitze dismax_t01 keine
anfrage 7 latenz_ms dismax_t01 0.5665
anfrage 7 treffer altplan 0
anfrage 7 spitze altplan keine
anfrage 7 latenz_ms altplan 0.2149
anfrage 7 overlap10_gegen_altplan summe 1.0000
anfrage 7 rbo10_gegen_altplan summe 1.0000
anfrage 7 rangverschiebung_gegen_altplan summe unbestimmt
anfrage 7 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 7 rbo10_gegen_altplan dismax_t00 1.0000
anfrage 7 rangverschiebung_gegen_altplan dismax_t00 unbestimmt
anfrage 7 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 7 rbo10_gegen_altplan dismax_t01 1.0000
anfrage 7 rangverschiebung_gegen_altplan dismax_t01 unbestimmt
anfrage 8 klasse einwort
anfrage 8 treffer summe 51090
anfrage 8 spitze summe 19698,34727,20449,42248,14538,37170,45710,1053,23527,11042
anfrage 8 latenz_ms summe 4.7591
anfrage 8 treffer dismax_t00 51090
anfrage 8 spitze dismax_t00 172,186,212,236,244,274,275,285,292,303
anfrage 8 latenz_ms dismax_t00 3.8191
anfrage 8 treffer dismax_t01 51090
anfrage 8 spitze dismax_t01 19698,34727,20449,42248,14538,37170,45710,1053,23527,11042
anfrage 8 latenz_ms dismax_t01 4.7053
anfrage 8 treffer altplan 51090
anfrage 8 spitze altplan 19698,34727,20449,42248,23527,37170,14538,45710,1053,11042
anfrage 8 latenz_ms altplan 3.7570
anfrage 8 overlap10_gegen_altplan summe 1.0000
anfrage 8 rbo10_gegen_altplan summe 0.9439
anfrage 8 rangverschiebung_gegen_altplan summe 3.9560
anfrage 8 overlap10_gegen_altplan dismax_t00 0.0000
anfrage 8 rbo10_gegen_altplan dismax_t00 0.0000
anfrage 8 rangverschiebung_gegen_altplan dismax_t00 55.0000
anfrage 8 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 8 rbo10_gegen_altplan dismax_t01 0.9439
anfrage 8 rangverschiebung_gegen_altplan dismax_t01 3.5824
anfrage 9 klasse mehrwort
anfrage 9 treffer summe 50296
anfrage 9 spitze summe 36668,11414,12849,34978,43149,6025,9132,8278,3502,32253
anfrage 9 latenz_ms summe 7.0054
anfrage 9 treffer dismax_t00 50296
anfrage 9 spitze dismax_t00 578,3392,3502,2587,1875,6025,7133,9132,9187,7978
anfrage 9 latenz_ms dismax_t00 7.1314
anfrage 9 treffer dismax_t01 50296
anfrage 9 spitze dismax_t01 36668,11414,12849,34978,43149,6025,9132,8278,3502,32253
anfrage 9 latenz_ms dismax_t01 7.2790
anfrage 9 treffer altplan 50296
anfrage 9 spitze altplan 36521,39281,38745,16224,45058,37791,9203,34059,38834,11175
anfrage 9 latenz_ms altplan 5.1419
anfrage 9 overlap10_gegen_altplan summe 0.0000
anfrage 9 rbo10_gegen_altplan summe 0.0000
anfrage 9 rangverschiebung_gegen_altplan summe 32.2069
anfrage 9 overlap10_gegen_altplan dismax_t00 0.0000
anfrage 9 rbo10_gegen_altplan dismax_t00 0.0000
anfrage 9 rangverschiebung_gegen_altplan dismax_t00 43.5769
anfrage 9 overlap10_gegen_altplan dismax_t01 0.0000
anfrage 9 rbo10_gegen_altplan dismax_t01 0.0000
anfrage 9 rangverschiebung_gegen_altplan dismax_t01 34.7174
anfrage 10 klasse einwort
anfrage 10 treffer summe 51095
anfrage 10 spitze summe 29366,10482,40731,19735,40790,40938,46890,3770,1568,30894
anfrage 10 latenz_ms summe 6.5394
anfrage 10 treffer dismax_t00 51095
anfrage 10 spitze dismax_t00 137,202,205,210,227,232,253,259,272,313
anfrage 10 latenz_ms dismax_t00 7.0835
anfrage 10 treffer dismax_t01 51095
anfrage 10 spitze dismax_t01 29366,10482,40731,19735,40790,40938,46890,3770,1568,30894
anfrage 10 latenz_ms dismax_t01 7.9128
anfrage 10 treffer altplan 51095
anfrage 10 spitze altplan 29366,10482,40731,19735,40790,40938,46890,30894,3770,1568
anfrage 10 latenz_ms altplan 5.1003
anfrage 10 overlap10_gegen_altplan summe 1.0000
anfrage 10 rbo10_gegen_altplan summe 0.9835
anfrage 10 rangverschiebung_gegen_altplan summe 2.9053
anfrage 10 overlap10_gegen_altplan dismax_t00 0.0000
anfrage 10 rbo10_gegen_altplan dismax_t00 0.0000
anfrage 10 rangverschiebung_gegen_altplan dismax_t00 27.8333
anfrage 10 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 10 rbo10_gegen_altplan dismax_t01 0.9835
anfrage 10 rangverschiebung_gegen_altplan dismax_t01 3.2632
anfrage 11 klasse einwort
anfrage 11 treffer summe 51965
anfrage 11 spitze summe 26765,39772,40925,32313,36988,526,16881,34438,22930,1054
anfrage 11 latenz_ms summe 4.6852
anfrage 11 treffer dismax_t00 51965
anfrage 11 spitze dismax_t00 39772,26765,40925,32313,526,1054,16881,34438,36988,22930
anfrage 11 latenz_ms dismax_t00 4.6218
anfrage 11 treffer dismax_t01 51965
anfrage 11 spitze dismax_t01 26765,39772,40925,32313,36988,526,16881,34438,22930,1054
anfrage 11 latenz_ms dismax_t01 4.6261
anfrage 11 treffer altplan 51965
anfrage 11 spitze altplan 26765,39772,32313,36988,526,16881,34438,22930,40925,1054
anfrage 11 latenz_ms altplan 3.8375
anfrage 11 overlap10_gegen_altplan summe 1.0000
anfrage 11 rbo10_gegen_altplan summe 0.8745
anfrage 11 rangverschiebung_gegen_altplan summe 3.2449
anfrage 11 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 11 rbo10_gegen_altplan dismax_t00 0.6776
anfrage 11 rangverschiebung_gegen_altplan dismax_t00 7.2247
anfrage 11 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 11 rbo10_gegen_altplan dismax_t01 0.8745
anfrage 11 rangverschiebung_gegen_altplan dismax_t01 3.3265
anfrage 12 klasse einwort
anfrage 12 treffer summe 51956
anfrage 12 spitze summe 41135,37179,37386,16503,10617,34098,530,26081,29426,13342
anfrage 12 latenz_ms summe 4.4174
anfrage 12 treffer dismax_t00 51956
anfrage 12 spitze dismax_t00 41135,37179,16503,37386,530,10617,29426,34098,26081,13342
anfrage 12 latenz_ms dismax_t00 4.2673
anfrage 12 treffer dismax_t01 51956
anfrage 12 spitze dismax_t01 41135,37179,37386,16503,10617,34098,530,26081,29426,13342
anfrage 12 latenz_ms dismax_t01 4.2258
anfrage 12 treffer altplan 51956
anfrage 12 spitze altplan 41135,37179,37386,10617,16503,34098,530,26081,29426,13342
anfrage 12 latenz_ms altplan 3.5567
anfrage 12 overlap10_gegen_altplan summe 1.0000
anfrage 12 rbo10_gegen_altplan summe 0.9720
anfrage 12 rangverschiebung_gegen_altplan summe 3.0612
anfrage 12 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 12 rbo10_gegen_altplan dismax_t00 0.8745
anfrage 12 rangverschiebung_gegen_altplan dismax_t00 8.8427
anfrage 12 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 12 rbo10_gegen_altplan dismax_t01 0.9720
anfrage 12 rangverschiebung_gegen_altplan dismax_t01 3.5918
anfrage 13 klasse einwort
anfrage 13 treffer summe 1
anfrage 13 spitze summe 52290
anfrage 13 latenz_ms summe 0.1529
anfrage 13 treffer dismax_t00 1
anfrage 13 spitze dismax_t00 52290
anfrage 13 latenz_ms dismax_t00 0.1735
anfrage 13 treffer dismax_t01 1
anfrage 13 spitze dismax_t01 52290
anfrage 13 latenz_ms dismax_t01 0.1696
anfrage 13 treffer altplan 1
anfrage 13 spitze altplan 52290
anfrage 13 latenz_ms altplan 0.0999
anfrage 13 overlap10_gegen_altplan summe 1.0000
anfrage 13 rbo10_gegen_altplan summe 1.0000
anfrage 13 rangverschiebung_gegen_altplan summe 0.0000
anfrage 13 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 13 rbo10_gegen_altplan dismax_t00 1.0000
anfrage 13 rangverschiebung_gegen_altplan dismax_t00 0.0000
anfrage 13 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 13 rbo10_gegen_altplan dismax_t01 1.0000
anfrage 13 rangverschiebung_gegen_altplan dismax_t01 0.0000
anfrage 14 klasse einwort
anfrage 14 treffer summe 51111
anfrage 14 spitze summe 3971,24732,51280,38102,33187,26469,45869,5094,32308,46376
anfrage 14 latenz_ms summe 4.7678
anfrage 14 treffer dismax_t00 51111
anfrage 14 spitze dismax_t00 163,171,179,180,196,224,273,304,305,309
anfrage 14 latenz_ms dismax_t00 4.0258
anfrage 14 treffer dismax_t01 51111
anfrage 14 spitze dismax_t01 3971,24732,51280,38102,33187,26469,45869,5094,32308,46376
anfrage 14 latenz_ms dismax_t01 4.7743
anfrage 14 treffer altplan 51111
anfrage 14 spitze altplan 3971,24732,51280,38102,5094,33187,26469,45869,32308,46376
anfrage 14 latenz_ms altplan 3.9250
anfrage 14 overlap10_gegen_altplan summe 1.0000
anfrage 14 rbo10_gegen_altplan summe 0.9531
anfrage 14 rangverschiebung_gegen_altplan summe 3.6327
anfrage 14 overlap10_gegen_altplan dismax_t00 0.0000
anfrage 14 rbo10_gegen_altplan dismax_t00 0.0000
anfrage 14 rangverschiebung_gegen_altplan dismax_t00 30.0000
anfrage 14 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 14 rbo10_gegen_altplan dismax_t01 0.9531
anfrage 14 rangverschiebung_gegen_altplan dismax_t01 3.6129
anfrage 15 klasse rueckfall
anfrage 15 treffer summe 1
anfrage 15 spitze summe 52288
anfrage 15 latenz_ms summe 0.1577
anfrage 16 klasse einwort
anfrage 16 treffer summe 51167
anfrage 16 spitze summe 32031,10759,34885,51335,1352,7356,36531,2384,8625,29272
anfrage 16 latenz_ms summe 4.7505
anfrage 16 treffer dismax_t00 51167
anfrage 16 spitze dismax_t00 173,189,242,248,257,291,302,318,356,377
anfrage 16 latenz_ms dismax_t00 4.2375
anfrage 16 treffer dismax_t01 51167
anfrage 16 spitze dismax_t01 32031,10759,34885,51335,1352,7356,36531,2384,8625,29272
anfrage 16 latenz_ms dismax_t01 4.7366
anfrage 16 treffer altplan 51167
anfrage 16 spitze altplan 32031,10759,34885,51335,1352,7356,36531,2384,8625,29272
anfrage 16 latenz_ms altplan 3.8983
anfrage 16 overlap10_gegen_altplan summe 1.0000
anfrage 16 rbo10_gegen_altplan summe 1.0000
anfrage 16 rangverschiebung_gegen_altplan summe 4.0208
anfrage 16 overlap10_gegen_altplan dismax_t00 0.0000
anfrage 16 rbo10_gegen_altplan dismax_t00 0.0000
anfrage 16 rangverschiebung_gegen_altplan dismax_t00 34.8000
anfrage 16 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 16 rbo10_gegen_altplan dismax_t01 1.0000
anfrage 16 rangverschiebung_gegen_altplan dismax_t01 3.0625
anfrage 17 klasse rueckfall
anfrage 17 treffer summe 33226
anfrage 17 spitze summe 32031,10759,34885,1352,7356,2384,8625,29272,20509,25308
anfrage 17 latenz_ms summe 5.0046
anfrage 18 klasse einwort
anfrage 18 treffer summe 1
anfrage 18 spitze summe 52293
anfrage 18 latenz_ms summe 0.1071
anfrage 18 treffer dismax_t00 1
anfrage 18 spitze dismax_t00 52293
anfrage 18 latenz_ms dismax_t00 0.0846
anfrage 18 treffer dismax_t01 1
anfrage 18 spitze dismax_t01 52293
anfrage 18 latenz_ms dismax_t01 0.0950
anfrage 18 treffer altplan 1
anfrage 18 spitze altplan 52293
anfrage 18 latenz_ms altplan 0.0591
anfrage 18 overlap10_gegen_altplan summe 1.0000
anfrage 18 rbo10_gegen_altplan summe 1.0000
anfrage 18 rangverschiebung_gegen_altplan summe 0.0000
anfrage 18 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 18 rbo10_gegen_altplan dismax_t00 1.0000
anfrage 18 rangverschiebung_gegen_altplan dismax_t00 0.0000
anfrage 18 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 18 rbo10_gegen_altplan dismax_t01 1.0000
anfrage 18 rangverschiebung_gegen_altplan dismax_t01 0.0000
anfrage 19 klasse einwort
anfrage 19 treffer summe 1
anfrage 19 spitze summe 52294
anfrage 19 latenz_ms summe 0.0865
anfrage 19 treffer dismax_t00 1
anfrage 19 spitze dismax_t00 52294
anfrage 19 latenz_ms dismax_t00 0.0855
anfrage 19 treffer dismax_t01 1
anfrage 19 spitze dismax_t01 52294
anfrage 19 latenz_ms dismax_t01 0.0809
anfrage 19 treffer altplan 1
anfrage 19 spitze altplan 52294
anfrage 19 latenz_ms altplan 0.0593
anfrage 19 overlap10_gegen_altplan summe 1.0000
anfrage 19 rbo10_gegen_altplan summe 1.0000
anfrage 19 rangverschiebung_gegen_altplan summe 0.0000
anfrage 19 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 19 rbo10_gegen_altplan dismax_t00 1.0000
anfrage 19 rangverschiebung_gegen_altplan dismax_t00 0.0000
anfrage 19 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 19 rbo10_gegen_altplan dismax_t01 1.0000
anfrage 19 rangverschiebung_gegen_altplan dismax_t01 0.0000
anfrage 20 klasse einwort
anfrage 20 treffer summe 1
anfrage 20 spitze summe 52308
anfrage 20 latenz_ms summe 0.0846
anfrage 20 treffer dismax_t00 1
anfrage 20 spitze dismax_t00 52308
anfrage 20 latenz_ms dismax_t00 0.0846
anfrage 20 treffer dismax_t01 1
anfrage 20 spitze dismax_t01 52308
anfrage 20 latenz_ms dismax_t01 0.0811
anfrage 20 treffer altplan 1
anfrage 20 spitze altplan 52308
anfrage 20 latenz_ms altplan 0.0612
anfrage 20 overlap10_gegen_altplan summe 1.0000
anfrage 20 rbo10_gegen_altplan summe 1.0000
anfrage 20 rangverschiebung_gegen_altplan summe 0.0000
anfrage 20 overlap10_gegen_altplan dismax_t00 1.0000
