findling-cpu epoch,usage_usec,box_total_jiffies,box_idle_jiffies,uptime_usec
findling-cpu 1790427192,595392463,171495,95117,860160000
findling-cpu 1790427197,595606681,172494,95962,865180000
findling-cpu 1790427202,599347074,173495,96445,870190000
findling-cpu 1790427207,602956776,174496,96937,875200000
findling-cpu 1790427212,607635006,175497,97399,880220000
findling-cpu 1790427217,608883907,176494,97883,885230000
findling-cpu 1790427222,608890258,177492,98355,890240000
findling-cpu 1790427227,608896295,178493,98849,895260000
findling-cpu 1790427232,608902666,179496,99337,900270000
findling-cpu 1790427237,608908647,180496,99797,905290000
findling-cpu 1790427242,608914765,181497,100260,910300000
findling-cpu 1790427247,608920886,182498,100750,915310000
findling-cpu 1790427252,608926993,183503,101237,920330000
findling-cpu 1790427257,608945529,184504,101722,925340000
findling-cpu 1790427262,608952260,185504,102210,930350000
findling-cpu 1790427267,608958481,186505,102650,935370000
findling-cpu 1790427272,608964831,187506,103112,940380000
findling-cpu 1790427277,608970874,188507,103571,945390000
findling-cpu 1790427282,608976806,189509,104059,950410000
findling-cpu 1790427287,608982829,190510,104554,955420000
findling-cpu 1790427292,608988840,191511,105042,960430000
findling-cpu 1790427297,608994985,192511,105501,965450000
findling-cpu 1790427302,609001445,193513,105966,970460000
findling-cpu 1790427307,609007406,194514,106458,975480000
findling-cpu 1790427312,609013421,195515,106904,980490000
findling-cpu 1790427317,609019371,196516,107398,985510000
findling-cpu 1790427322,609025384,197517,107886,990520000
findling-cpu 1790427327,609031290,198520,108380,995530000
findling-cpu 1790427332,609037268,199520,108844,1000550000
findling-cpu 1790427337,609043204,200522,109337,1005560000
findling-cpu 1790427342,609049254,201521,109613,1010580000
findling-cpu 1790427347,609055843,202526,109613,1015600000
findling-cpu 1790427353,609062484,203531,109614,1020630000
findling-cpu 1790427358,609069090,204535,109614,1025650000
findling-cpu 1790427363,609075690,205541,109615,1030680000
findling-cpu 1790427368,609082456,206547,109615,1035710000
findling-cpu 1790427373,609089202,207551,109619,1040730000
findling-cpu 1790427378,609107957,208557,109619,1045760000
findling-cpu 1790427383,609115195,209561,109619,1050780000
findling-cpu 1790427388,609122134,210566,109620,1055810000
findling-cpu 1790427393,609129021,211570,109620,1060830000
findling-cpu 1790427398,609135769,212575,109620,1065850000
findling-cpu 1790427403,609142439,213579,109628,1070880000
findling-cpu 1790427408,609149345,214586,109629,1075910000
findling-cpu 1790427413,609156238,215591,109629,1080930000
findling-cpu 1790427418,609162977,216596,109629,1085960000
findling-cpu 1790427423,609169913,217602,109630,1090980000
findling-cpu 1790427428,609176561,218607,109630,1096010000
findling-cpu 1790427433,609183265,219612,109630,1101040000
findling-cpu 1790427438,609189869,220618,109637,1106070000
findling-cpu 1790427443,609196658,221623,109637,1111090000
findling-cpu 1790427448,609203213,222627,109637,1116120000
findling-cpu 1790427453,609209879,223634,109638,1121150000
findling-cpu 1790427458,609216790,224640,109638,1126180000
findling-cpu 1790427463,609223452,225645,109638,1131210000
findling-cpu 1790427468,609229653,226647,109985,1136230000
findling-cpu 1790427473,609235756,227596,110276,1141240000
findling-cpu 1790427478,609241775,228555,110629,1146260000
findling-cpu 1790427483,609248009,229503,110919,1151270000
findling-cpu 1790427488,609254172,230464,111265,1156310000
findling-cpu 1790427493,609271393,231414,111575,1161320000
findling-cpu 1790427498,609371509,232371,111892,1166340000
findling-cpu 1790427503,609378433,233371,112363,1171350000
findling-cpu 1790427508,609385012,234372,112856,1176370000
findling-cpu 1790427513,609392016,235370,113305,1181380000
findling-cpu 1790427518,609398193,236373,113795,1186400000
findling-cpu 1790427523,609404184,237375,114283,1191410000
findling-cpu 1790427528,609410188,238377,114776,1196420000
findling-cpu 1790427533,609416098,239378,115264,1201440000
findling-cpu 1790427538,609422331,240380,115695,1206450000
findling-cpu 1790427543,609428749,241378,116155,1211460000
findling-cpu 1790427548,609434880,242380,116649,1216480000
findling-cpu 1790427553,609440953,243382,117093,1221490000
findling-cpu 1790427558,609446878,244385,117588,1226500000
findling-cpu 1790427563,609453126,245384,117986,1231520000
findling-cpu 1790427568,609459900,246389,117986,1236550000
findling-cpu 1790427573,609466643,247393,118104,1241580000
findling-cpu 1790427578,609473591,248398,118104,1246600000
findling-cpu 1790427584,609480447,249402,118104,1251630000
findling-cpu 1790427589,609487349,250408,118104,1256660000
findling-cpu 1790427594,609494243,251413,118104,1261680000
findling-cpu 1790427599,609500944,252410,118224,1266710000
findling-cpu 1790427604,609507241,253401,118659,1271730000
findling-cpu 1790427609,609513805,254393,119288,1276740000
findling-cpu summary samples=205 mean_cores=0.595 max_cores=1.246 reason=cgroup gone
